l[mm],k,t[s],T[s],T^2 [s^2],g[m/s^2]
93,20,12.59,0.6295,0.39627025,9.26512357969149
145,20,15.79,0.7895,0.62331025,9.18382226608952
195,20,17.97,0.8985,0.80730225,9.53582308590085
235,20,19.66,0.983,0.966289,9.60109049883006
285,20,21.31,1.0655,1.13529025,9.91054844101926
340,20,23.5,1.175,1.380625,9.7221635023859
375,20,24.19,1.2095,1.46289025,10.1199707918171
410,20,25.94,1.297,1.682209,9.62196208544036
445,20,26.78,1.339,1.792921,9.79847736399934
470,20,27.56,1.378,1.898884,9.7714532715258
490,20,28.19,1.4095,1.98669025,9.73701090350403
520,20,28.84,1.442,2.079364,9.87262314547423
535,20,29.19,1.4595,2.13014025,9.91528769916968
550,20,29.56,1.478,2.184484,9.9397064397801
580,20,30.1,1.505,2.265025,10.1091520890618
